publishedAt,title,artist,rating,genres
2010-03-03T03:25:15Z,Plastic Beach,Gorillaz,7,
2010-03-08T22:59:59Z,"Tomorrow, In a Year",The Knife,3,
2010-03-09T20:17:13Z,Snakes for the Divine,High On Fire,8,
2010-03-11T20:32:18Z,Sisterworld,Liars,6,
2010-03-16T16:35:35Z,Broken Bells,Broken Bells,5,
2010-03-17T15:46:30Z,ÞÞÞÞÞÞÞÞÞÞÞ,Arckanum,8,
2010-03-23T19:35:38Z,A Sufi and a Killer,Gonjasufi,9,
2010-03-24T17:21:35Z,American Ghetto,Portugal. The Man,3,
2010-03-25T21:52:14Z,Congratulations,MGMT,8,
2010-03-30T15:13:12Z,Big Echo,The Morning Benders,6,
2010-03-31T16:39:54Z,Oversteps,Autechre,5,
2010-04-05T06:34:23Z,Go,Jonsi,6,
2010-04-08T21:37:27Z,Belus,Burzum,4,
2010-04-12T18:18:12Z,Diamond Eyes,Deftones,4,
2010-04-13T17:52:35Z,The Monitor,Titus Andronicus,7,
2010-04-14T16:19:25Z,The Wild Hunt,The Tallest Man On Earth,8,
2010-04-15T17:12:46Z,Raw Power,Iggy and the Stooges,5,
2010-04-16T13:28:30Z,Drunk Girls,LCD Soundsystem,7,
2010-04-19T19:28:45Z,Swim,Caribou,6,
2010-04-21T18:18:03Z,Self-Titled,Happy Birthday,6,
2010-04-26T17:36:51Z,Circle the Wagons,Darkthrone,5,
2010-04-27T05:09:15Z,Fool's Day,Blur,8,
2010-04-27T19:08:43Z,Self-Titled,Crystal Castles,7,
2010-04-29T19:33:02Z,USA Boys,HEALTH,8,
2010-05-02T19:18:12Z,This Orient,Foals,7,
2010-05-03T19:36:36Z,Forgiveness Rock Record,Broken Social Scene,4,
2010-05-05T18:47:37Z,Cosmogramma,Flying Lotus,8,
2010-05-09T18:18:46Z,Throat,Little Women,9,
2010-05-10T19:12:42Z,Latin,Holy Fuck,7,
2010-05-12T05:43:37Z,High Violet,The National,6,
2010-05-12T19:03:19Z,At Echo Lake,Woods,8,
2010-05-13T15:55:58Z,Together,The New Pornographers,7,
2010-05-16T16:04:04Z,Sea of Cowards,The Dead Weather,5,
2010-05-17T14:32:26Z,This Is Happening,LCD Soundsystem,9,
